"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 ne s'accorde pas avec \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice",""
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 ne s'accorede pas avec \Magento\Checkout\CustomerData\ItemInterface",""
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 ne s'accorde pas avec \Magento\Customer\CustomerData\SectionSourceInterface",""
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 ne s'accorde pas avec \Magento\Framework\Filter\Template",""
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 ne s'accordant pas avec \Magento\Catalog\Model\Layer\Filter\AbstractFilter",""
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 ne s'accorde pas avec \Magento\Catalog\Model\Product\Option\Type\DefaultType",""
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 ne s'accorde pas avec \Magento\Catalog\Model\Product\Type\AbstractType",""
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 ne s'accorde pas avec  \Magento\Catalog\Model\Product\Type\Price",""
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 ne s'accorde pas à \Magento\Framework\Model\AbstractModel",""
"%1 for ""%2"".","%1 pour ""%2"".",""
"%1 for %2","%1 pour %2",""
"%1 has been moved to your wish list.","%1 a été déplacé dans votre liste d'envies.",""
"%1 has been updated in your Wish List.","%1 a bien été mis à jour dans votre liste d'envies.",""
"%1 has reached a quantity of %2.","%1 ayant atteint la quantité de %2.",""
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexe(s) sont en mode ""Mise à jour périodique"".",""
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexe(s) sont en mode ""Mise à jour à l'enregistrement"".",""
"%1 is available to buy in increments of %2","%1 doit être acheté par multiple de %2.",""
"%1 is not a correct comparison method.","%1 n'est pas une méthode de comparaison correct.",""
"%1 items","%1 produits",""
"%1 order(s) cannot be canceled.","%1 commande(s) ne peuvent être annulées.",""
"%1 order(s) have been released from on hold status.","%1 commandes ont bien été débloquées.",""
"%1 order(s) were not put on hold.","%1 commandes n'ont pas été bloquées.",""
"%1 order(s) were not released from on hold status.","%1 commandes n'ont pas été bloquées.",""
"%1 product(s) have been added to shopping cart: %2.","%1 produits ont été ajoutés à votre panier : %2.",""
"%1 was not found in algorithms","%1 n'a pas été trouvé dans les algorithmes",""
"%1 was updated in your shopping cart.","%1 a été mis à jour dans votre panier.",""
"%1 with %2 discount each","%1 avec %2 de reduction chacun",""
"%1 x %2","%1 x %2",""
"%1' file extension is not supported","%1' extension de fichier n'est pas supporté",""
"%1's Wishlist","Liste d'envies de %1",""
"%1\'s Wish List","Liste d\'envie de %1",""
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name désire partager cette liste d'envies de %store_name avec vous :",""
"%customer_name,","%customer_name,",""
"%name,","%name,",""
"%sender_name wants to share this product with you:","%sender_name voudrait partager ce produit avec vous :",""
"%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","%value%' apparaît comme un nom d'hôte DNS, mais la notation punycode donné ne peut pas être décodé.",""
"%value%' does not look like a valid local network name.","%value%' ne ressemble pas à un nom local valide de réseau.",""
"%value%' looks like a DNS hostname but cannot extract TLD part.","%value%' ressemble à un nom d'hôte DNS mais ne peut pas extraire une partie de TLD.",""
"%value%' looks like a DNS hostname but contains a dash in an invalid position.","%value%' ressemble à un nom d'hôte DNS mais contient un tiret à une position invalide.",""
"%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","%value%' ressemble à un nom d'hôte DNS, mais nous ne pouvons pas correspondre vis à vis du schéma de nom d'hôte pour le TLD '%tld%'.",""
"%value%' looks like a DNS hostname but we cannot match the TLD against known list.","%value%' ressemble à un nom d'hôte DNS, mais nous ne pouvons pas trouver vis à vis de la liste TLD connue.",""
"%value%' looks like a local network name, which is not an acceptable format.","%value%' ressemble à un nom de réseau local, ce qui n'est pas un format acceptable.",""
"%value%' looks like an IP address, which is not an acceptable format.","%value%' ressemble à une adresse IP, ce qui n'est un format acceptable.",""
"&nbsp;","&nbsp;",""
"(Copy data from: %1)","(Copier les données depuis : %1)",""
"(Excl. Tax)","HT",""
"(Incl. Tax)","TTC",""
"* - Enter custom price excluding tax","* - Saisissez le prix hors taxe",""
"* - Enter custom price including tax","* - Saisissez le prix toutes taxes comprises",""
"* Required Fields","* Champs obligatoires",""
"*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","*' - correspond à tout; 'xyz*' - correspond à tout ce qui commence par ""xyz"" et n'est pas plus long que %1.",""
",",",",""
",module,Magento_Paypal
Basic Settings - PayPal Payments Advanced""",",module,Magento_Paypal

Basic Settings - PayPal Payments Advanced""",""
",module,Magento_Paypal
Basic Settings - PayPal Payments Pro Hosted Solution""",",module,Magento_Paypal

Basic Settings - PayPal Payments Pro Hosted Solution""",""
",module,Magento_Paypal
Persistent Shopping Cart""",",module,Magento_Paypal

Persistent Shopping Cart""",""
",module,Magento_Paypal
Publisher ID""",",module,Magento_Paypal

Publisher ID""",""
"-- No Theme --","-- Aucun thème --",""
"-- Please Select --","-- Votre choix --",""
"-- Please Select Billing Agreement--","-- Veuillez choisir l'entente de facturation--",""
"-- Please Select a Category --","-- Veuillez sélectionner une catégorie --",""
"-- Please select --","-- Veuillez choisir --",""
"-- Select --","-- Votre choix --",""
"--Please Select--","--Veuillez choisir--",""
".",".",""
"1","1",""
"1 Day Freight","Frêt 1 jour",""
"1 Hour","1 Heure",""
"1 column","1 colonne",""
"1 item","1 produit",""
"12 Hours","12 Heures",""
"123","123",""
"12h AM/PM","12h AM/PM",""
"2 Day","2 jours",""
"2 Day AM","J+2 matin",""
"2 Day Freight","Frêt 2 jours",""
"2 Hours","2 Heures",""
"2 columns with left bar","2 colonnes avec colonne de gauche",""
"2 columns with right bar","2 colonnes avec colonne de droite",""
"2-pixel perimeter around the header space.","Périmètre de 2 pixels autour de l'espace d'en-tête.",""
"24 Hours","24 Heures",""
"24h","24h",""
"2YTD","Depuis le début de l'année dernière",""
"2nd Day Air","2nd Day Air",""
"2nd Day Air AM","2nd Day Air AM",""
"2nd Day Air AM Letter","2nd Day Air AM Letter",""
"2nd Day Air Letter","2nd Day Air Letter",""
"3 Day Freight","Frêt 3 jours",""
"3 Day Select","3 Day Select",""
"3 columns","3 colonnes",""
"3D Secure Verification","Vérification 3D Secure",""
"3D Secure Verification Settings","Réglages Vérification 3D Secure",""
"6 Hours","6 Heures",""
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 par défaut, si non renseigné. Pour actualiser instantanément, purgez le cache des Blocs HTML de sortie.",""
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimer le reçu</a>",""
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>",""
"<a href=""%1"">Learn more</a>.","<a href=""%1"">En savoir +</a>.",""
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>",""
"<a href=\""https://financing.paypal.com/ppfinportal/content/whyUseFinancing\"" target=\""_blank\"">Why Advertise Financing?</a><br/>","<a href=\""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing\"" target=\""_blank\"">Pourquoi l'Annonce de Financement</a><br/>",""
"<a href=\""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing\"" target=\""_blank\"">Why Advertise Financing?</a><br/>","<a href=\""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing\"" target=\""_blank\"">Qu'est-ce que l'Annonce de Financement ?</a><br/>",""
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erreur 404</h1><p>Page introuvable.</p>",""
"<label class=""label""><span>from</span></label>","<label class=""label""><span>du</span></label>",""
"<label class=""label""><span>to</span></label>","<label class=""label""><span>au</span></label>",""
"<pre> %1 </pre>","<pre>%1</pre>",""
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Date de commande :</span> %1",""
"<span>Item %1</span> of %2","<span>Article %1</span> sur %2",""
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Attention !</strong> Lors de l'utilisation des codes de magasin dans les URLs, le système peut ne pas fonctionner correctement dans certains cas si des URLs sans code sont spécifiées dans des services tiers (par ex. PayPal).",""
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 article</strong> trouvé avec les critères de recherche suivants",""
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 articles</strong> trouvés avec les critères de recherche suivants",""
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong> : le captcha est sensible à la casse.",""
"<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing","<strong>Boostez vos ventes en annonçant le financement</strong><br/>PayPal vous aide à convertir vos visiteurs en acheteurs grâce au financement",""
"A PDF object is not specified.","L'objet PDF n'est pas spécifié.",""
"A PDF page object is not specified.","L'objet PDF page n'est pas spécifié.",""
"A block identifier with the same properties already exists in the selected store.","Il existe déjà un identifiant de bloc ayant les mêmes propriétés dans le magasin sélectionnée.",""
"A case that has been resolved and close requires a reimbursement.","Une affaire a été résolue et néccessite un remboursement pour la cloturer.",""
"A class with the same name already exists for ClassType %1.","Une classe avec le même nom existe déjà pour la ClassType %1.",""
"A consumer having the specified key does not exist","API ayant une clé spécifique qui n'existe pas",""
"A consumer with ID %1 does not exist","L'authentification avec ID %1 n'existe pas",""
"A consumer with the ID %1 does not exist","L'API avec l'ID%1 n'existe pas",""
"A customer website ID must be specified when using the website scope.","Un ID client de site Web doit être spécifié lors de l'utilisation du site web utilisé.",""
"A customer with the same email already exists in an associated website.","Un client avec le même e-mail existe déjà dans un site Web associé.",""
"A group with the same name already exists.","Il existe déjà un groupe portant ce nom.",""
"A hold action is not available.","L'action de blocage n'est pas disponible.",""
"A joined field with this alias is already declared.","Un champ joint avec cet alias est déjà déclarée.",""
"A joint field with this alias (%1) is already declared.","Un champ de jointure a déjà été déclaré avec cet alias (%1).",""
"A login and a password are required.","Un identifiant et un mot de passe sont nécessaires.",""
"A name is required.","Un nom est requis.",""
"A payer is not identified.","Un payeur n'est pas identifié.",""
"A payment method is not defined.","La méthode de paiement n'est pas définie.",""
"A positive or negative non-decimal number please","Uniquement des nombres entiers positifs ou négatifs autorisés.",""
"A product type is not defined for the indexer.","Aucun type de produit n'a été défini pour l'indexer.",""
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Une inversion a eu lieu sur cette opération en raison d'un litige client soupçonner frauduleux non autorisée.",""
"A reversal has occurred on this transaction because you have given the customer a refund.","Une inversion a eu lieu sur cette transaction parce que vous avez donné au client un remboursement.",""
"A reversal has occurred on this transaction due to a chargeback by your customer.","Une inversion a eu lieu sur cette transaction en raison d'un rejet de débit par votre client.",""
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Une inversion a eu lieu sur cette opération en raison d'une plainte au sujet de la transaction de votre client.",""
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Une inversion a eu lieu sur cette transaction en raison de votre client déclenchant une garantie de remboursement.",""
"A shipping selection is not applicable.","Une méthode de livraison n'est pas utilisable.",""
"A token with consumer ID %1 does not exist","L'authentification avec l'API ID %1 n'existe pas",""
"A token with consumer ID 0 does not exist","L'identificateur d'authenfication avec l'ID 0 n'existe pas",""
"A total of %1 record(s) have been deleted.","Un total de %1 enregistrement(s) supprimé(s).",""
"A total of %1 record(s) have been disabled.","Un total de %1 enregistrement(s) désactivé(s).",""
"A total of %1 record(s) have been enabled.","Un total de %1 enregistrement(s) activé(s).",""
"A total of %1 record(s) have been marked as Read.","%1 message(s) marqué(s) comme lu(s).",""
"A total of %1 record(s) have been updated.","Un total de %1 enregistrement(s) mis à jour.",""
"A total of %1 record(s) were deleted.","Un total de %1 enregistrement(s) ont été supprimés.",""
"A total of %1 record(s) were updated.","Un total de %1 enregistrement(s) mis à jour.",""
"A user with the same user name or email already exists.","Un utilisateur avec le même nom d'utilisateur ou la même adresse e-mail existe déjà.",""
"A wrong PayPal Express Checkout Token is specified.","Une mauvaise authentification PayPal Express Checkout est spécifié.",""
"ACH Deposit (Hold for Dispute or Other Investigation)","Dépôt d'ACH (prise pour le conflit ou toute autre recherche)",""
"ACH Deposit (Reversal)","Dépôt d'ACH (inversion)",""
"ACH Funding for Funds Recovery from Account Balance","Placement d'ACH pour le rétablissement de fonds de l'équilibre de compte",""
"ACH Withdrawal","Retrait d'ACH",""
"ALL","Tous",""
"ALL GROUPS","TOUS LES GROUPES",""
"AM","AM",""
"ANY","Un(e) ou plusieurs",""
"API","API",""
"API Authentication Methods","Modes d'authentification de l'API",""
"API Certificate","Certificat d'API",""
"API Login ID","ID de connexion de l'API",""
"API Password","Mot de passe API",""
"API Signature","Signature API",""
"API Username","Pseudo API",""
"API Uses Proxy","API utilisant un proxy",""
"API interfaces reflection data.","Données de l'API Reflection.",""
"AVS Response","Réponse AVS (Système de vérification d'adresse)",""
"AVS Street Does Not Match","AVS l'adresse de rue ne correspond pas",""
"AVS Street Match","AVS Correspondance exacte de l'adresse de rue",""
"AVS Zip Does Not Match","AVS code postal ne correspond pas",""
"AVS zip","AVS code postal",""
"Abandoned Carts","Paniers abandonnés",""
"Abandoned carts","Paniers abandonnés",""
"Ability for buyer to purchase without PayPal account.","Capacité pour l'acheteur d'acheter sans compte PayPal.",""
"About Us","Qui sommes-nous ?",""
"About Your Invoice","À propos de votre facture",""
"About Your Order","À propos de votre commande",""
"About Your Refund","À propos de votre remboursement",""
"About Your Shipment","À propos de votre expédition",""
"About the calendar","À propos du calendrier",""
"Accept Payment","Acceptez le paiement",""
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accepter les paiements avec une caisse compatible PCI qui garde les clients sur votre site.",""
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accepter les paiements avec un départ de la conformité PCI qui garde les clients sur votre site.",""
"Accept payments with a completely customizable checkout page.","Accepter les paiements avec une page de paiement entièrement personnalisable.",""
"Acceptance Mark","Marque d'acceptation",""
"Acceptance Mark Image","Image de marque d'acceptation",""
"Accepted Currency","Devise acceptée",""
"Access Denied.","Accès refusé.",""
"Access ID","ID d'accès",""
"Access License Number","Numéro de permis d'accès",""
"Access Token","Authentification d'accès (Oauth)",""
"Access Token Secret","Authentification d'accès secret (Oauth)",""
"Access denied","Accès refusé",""
"Access list","Liste d'accès",""
"Access token has been revoked","L'authentification d'accès a été révoqué",""
"Account Created in","Compte créé dans",""
"Account Created in:","Compte créé dans :",""
"Account Created on (%1):","Compte créé le (%1) :",""
"Account Created:","Compte créé:",""
"Account Dashboard","Tableau de bord du compte",""
"Account ID","ID de compte",""
"Account Information","Informations du compte",""
"Account Number","Numéro de compte",""
"Account Setting","Paramètres du compte",""
"Account Sharing Options","Options de partage de compte",""
"Account Status","Statut du compte",""
"Account already active","Compte déjà actif",""
"Account-to-Account Payment, initiated by PayPal","Paiement de Compte à compte, initié par PayPal",""
"Action","Action",""
"Actions","Actions",""
"Activate","Activez",""
"Active","Actif",""
"Actual Price","Prix ​​actuel",""
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adapter doit être une instance de \Magento\ImportExport\Model\Import\AbstractSource",""
"Add","Ajouter",""
"Add All to Cart","Tout ajouter au panier",""
"Add Attribute","Ajouter un attribut",""
"Add Attribute Set","Ajouter un groupe d'attribut",""
"Add Block Names to Hints","Ajouter les noms des blocs aux astuces",""
"Add Credit Card","Ajouter une carte bancaire",""
"Add Date","Date de création",""
"Add Design Change","Ajouter un changement de design",""
"Add Gift Options for the Entire Order","Ajouter des options cadeau pour toute la commande",""
"Add Group","Ajouter un groupe",""
"Add Images into Sitemap","Ajouter les images au plan de site",""
"Add Invitee","Ajouter un destinataire",""
"Add Layout Update","Ajouter une mise à jour d'agencement",""
"Add Locale","Vue magasin",""
"Add Minimum Qty","Ajouter une quantité mini",""
"Add New","Ajouter",""
"Add New %1","Ajouter nouveau %1",""
"Add New Address","Ajouter une nouvelle adresse",""
"Add New Attribute","Ajouter un attribut",""
"Add New Attribute Set","Nouveau groupe d'attributs",""
"Add New Block","Ajouter un nouveau bloc",""
"Add New Class","Ajouter une classe",""
"Add New Condition","Créer des CGV",""
"Add New Customer","Ajouter un nouveau client",""
"Add New Customer Group","Ajouter un nouveau groupe de clients",""
"Add New Group","Nouveau groupe",""
"Add New Image","Nouvelle image",""
"Add New Images","Nouvelles images",""
"Add New Integration","Ajouter une nouvelle intégration",""
"Add New Link","Ajouter un nouveau lien",""
"Add New Option","Ajouter une option",""
"Add New Page","Ajouter une nouvelle page",""
"Add New Rating","Ajouter une évaluation",""
"Add New Role","Nouveau rôle",""
"Add New Row","Ajouter une nouvelle ligne",""
"Add New Rule","Ajouter une nouvelle règle",""
"Add New Search Term","Ajouter un terme de recherche",""
"Add New Tax Class","Ajouter une nouvelle classe de taxe",""
"Add New Tax Rate","Ajouter une nouvelle taxe",""
"Add New Tax Rule","Ajouter une nouvelle règle",""
"Add New Template","Ajouter un nouveau gabarit",""
"Add New URL Rewrite","Nouvelle réécriture d'URL",""
"Add New User","Nouvel utilisateur",""
"Add New Variable","Nouvelle variable",""
"Add Option","Ajouter une option",""
"Add Package","Ajouter un colis",""
"Add PayPal as an additional payment method to your checkout page.","Ajouter PayPal comme moyen de paiement supplémentaire à votre page de paiement.",""
"Add Price","Ajouter un Prix",""
"Add Product","Ajouter un produit",""
"Add Product To Websites","Ajouter le produit aux sites web",""
"Add Products","Ajouter des produits",""
"Add Products Manually","Ajouter les produits manuellement",""
"Add Products to Group","Ajouter des produits au groupe",""
"Add Products to New Option","Ajouter les produits à la nouvelle option",""
"Add Products to Option","Ajouter des produits à l'option",""
"Add Products to Option ""%1""","Ajouter les produits à l'option ""%1""",""
"Add Products to Package","Ajouter des produits au colis",""
"Add Root Category","Ajouter une catégorie racine",""
"Add Rule","Ajouter un règle",""
"Add Secret Key to URLs","Ajouter une clé secrète aux URLs",""
"Add Selected Product(s) to Order","Ajouter les produits sélectionnés à la commande",""
"Add Selected Product(s) to Package","Ajouter les produits sélectionnés au colis",""
"Add Selected Products","Ajouter les produits sélectionnés",""
"Add Sitemap","Ajouter un plan du site",""
"Add Store Code to Urls","Ajouter le code du magasin aux URLs",""
"Add Subcategory","Ajouter une sous-catégorie",""
"Add Swatch","Ajouter un Swatch",""
"Add Tax","Ajouter une taxe",""
"Add To Order","Ajouter à la commande",""
"Add Tracking Number","Ajouter un numéro de suivi",""
"Add URL Rewrite","Ajouter une réécriture d'URL",""
"Add URL Rewrite for CMS page","Ajouter une réécriture d'URL pour une page CMS",""
"Add URL Rewrite for a Category","Ajouter une réécriture d'URL pour une catégorie",""
"Add URL Rewrite for a Product","Ajouter une réécriture d'URL pour un produit",""
"Add Video","Ajouter une vidéo",""
"Add Widget","Ajouter un widget",""
"Add Your Review","Ajoutez votre avis",""
"Add \Exception","Ajouter \Exception",""
"Add after","Ajoutez après",""
"Add another payment method to your existing solution or as a stand-alone option.","Ajouter un autre mode de paiement à votre solution existante ou en tant qu'une option autonome.",""
"Add configurable attributes to the current Attribute Set (""%1"")","Ajouter un attributs configurables au groupe d'attribut actuel (""%1"")",""
"Add configurable attributes to the existing Attribute Set","Ajouter un attributs configurables au groupe d'attribut existant",""
"Add configurable attributes to the new Attribute Set based on current","Ajouter un attributs configurables pour le nouveau groupe d'attributs sur la base actuelle",""
"Add gift options","Ajouter des options cadeau",""
"Add gift options for Individual Items","Ajouter des options cadeau pour les articles individuels",""
"Add links to your product files here.","Ajouter des liens aux fichiers de votre produit ici.",""
"Add new card","Ajouter nouvelle carte",""
"Add product preview files here.","Ajouter un aperçu du produit ici.",""
"Add to Cart","Ajouter au panier",""
"Add to Column Options","Ajouter aux options de colonne",""
"Add to Compare","Ajouter au comparateur",""
"Add to Queue","Ajouter à la file",""
"Add to Wish List","Ajouter à la liste d'envies",""
"Add video","Ajouter une vidéo",""
"Add/Update","Ajouter/Mettre à jour",""
"Add/Update Complex Data","Ajouter/Mettre à jour données complexes",""
"Added","Ajouté",""
"Additional Address Entries","Saisies d'adresses supplémentaires",""
"Additional Cache Management","Gestion étendue du cache",""
"Additional Options","Options additionnelles",""
"Additional Settings","Paramètres supplémentaires",""
"Additional data","Donnée supplémentaire",""
"Address","Adresse",""
"Address %1 <span>of %2</span>","Adresse %1 <span>sur %2</span>",""
"Address Book","Carnet d'adresses",""
"Address Information","Informations d'adresse",""
"Address Templates","Gabarit d'adresse",""
"Address Verification System Response","Adresse du système de vérification de réponse",""
"Addresses","Adresses",""
"Adjust final price to discount value","Nouveau prix en montant fixe",""
"Adjust final price to this percentage","Pourcentage du prix original",""
"Adjustment Fee","Frais de dossier",""
"Adjustment Refund","Remboursement des frais de dossier",""
"Admin","Administration",""
"Admin 1column","Page Admin 1 colonne",""
"Admin Base URL","URL de base de l'admin",""
"Admin Session Lifetime (seconds)","Durée de vie de la session admin (en secondes)",""
