"Billing Agreements","Ententes de facturation"
"Now accepting PayPal (150 X 60)","Nous acceptons désormais PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Nous acceptons désormais PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Paiements par PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Paiements par PayPal (150 X 40)"
"Shop now using (150 X 60)","Magasin utilisant actuellement (150 X 60)"
"Shop now using (150 X 40)","Magasin utilisant actuellement (150 X 40)"
Shortcut,Raccourci
"Acceptance Mark Image","Image de marque d'acceptation"
Authorization,Autorisation
Sale,Vente
"For Virtual Quotes Only","Pour les commandes virtuelles uniquement"
Auto,Auto
"Ask Customer","Demandez au client"
"IPN (Instant Payment Notification) Only","Notification instantanée de paiement (IPN) seulement"
"API Signature","Signature API"
"API Certificate","Certificat d'API"
"The ordering amount of %1 is pending approval on the payment gateway.","Le montant de la commande de %1 est en attente d'approbation sur la passerelle de paiement."
"Ordered amount of %1","Montant commandé de %1"
"The authorized amount is %1.","Le montant autorisé est %1."
"The maximum number of child authorizations is reached.","Le nombre maximum de requêtes d'autorisations est atteint."
"A payer is not identified.","Un payeur n'est pas identifié."
"Cannot get secure form URL from PayPal","Impossible d'obtenir l'URL du formulaire sécurisé venant de PayPal"
"Last Transaction ID","ID de la dernière transaction"
"The payment is authorized but not settled.","Le paiement est autorisé, mais pas réglé."
"The payment eCheck is not cleared.","Le chèque électronique de paiement n'est pas effacé."
"The payment is pending while it is being reviewed by PayPal for risk.","Le paiement est en cours alors qu'il est actuellement examiné par PayPal pour un risque potentiel."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Le paiement est en attente car elle a été faite à une adresse e-mail qui n'est pas encore enregistrée ou confirmée."
"The merchant account is not yet verified.","Le compte marchand n'est pas encore vérifié."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Le paiement a été effectué par carte de crédit. Afin de recevoir les fonds pour votre commerce vous devez mettre à niveau le compte en classe Entreprise ou le statut de premier classe."
"Sorry, but something went wrong. Please contact PayPal customer service.","Désolé, mais quelque chose a mal tourné. Veuillez contacter le service clientèle de PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Une inversion a eu lieu sur cette transaction en raison d'un rejet de débit par votre client."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Une inversion a eu lieu sur cette transaction en raison de votre client déclenchant une garantie de remboursement."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Une inversion a eu lieu sur cette opération en raison d'une plainte au sujet de la transaction de votre client."
"A reversal has occurred on this transaction because you have given the customer a refund.","Une inversion a eu lieu sur cette transaction parce que vous avez donné au client un remboursement."
"Reversal of an adjustment.","Inversion d'un ajustement."
"Transaction reversal due to fraud detected by PayPal administrators.","Inversion en raison de la fraude détectée par les administrateurs de la transaction PayPal."
"Transaction reversal by PayPal administrators.","Inversion de la transaction par les administrateurs PayPal."
"Reimbursement for a chargeback.","Remboursement des frais de rejet de débit."
"Settlement of a chargeback.","Le règlement d'un rejet de débit."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Une inversion a eu lieu sur cette opération en raison d'un litige client soupçonner frauduleux non autorisée."
"Buyer claims that he did not receive goods or service.","Acheteur prétend ne pas avoir reçu les biens ou les services."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Acheteur affirmant que les biens ou les services reçus diffèrent de la description du marchand vendant les biens ou services."
"Buyer claims that he/she did not authorize transaction.","Acheteur affirmant qu'il/elle n'a pas autorisé la transaction."
"A case that has been resolved and close requires a reimbursement.","Une affaire a été résolue et néccessite un remboursement pour la cloturer."
"Buyer claims that a possible duplicate payment was made to the merchant.","Acheteur prétend qu'un possible double paiement a été fait par le marchand."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Acheteur prétend que la marchandise reçue est insatisfaisante, défectueux ou endommagés."
"Unknown reason. Please contact PayPal customer service.","Raison inconnue. Veuillez contacter le service client de PayPal."
"Payer ID","ID Payeur"
"Payer Email","E-mail du Payeur"
"Payer Status","Statut du Payeur"
"Payer Address ID","ID adresse du Payeur"
"Payer Address Status","Statut adresse du Payeur"
"Merchant Protection Eligibility","Protection à l'éligibilité du Marchand"
"Triggered Fraud Filters","Activer les filtres anti-fraudes"
"Last Correlation ID","Dernier ID de corrélation"
"Address Verification System Response","Adresse du système de vérification de réponse"
"CVV2 Check Result by PayPal","Résultat de vérification de CVV2 par PayPal"
"AVS Street Match","AVS Correspondance exacte de l'adresse de rue"
"AVS zip","AVS code postal"
"International AVS response","AVS réponse internationale"
Chargeback,"Frais de retour"
Complaint,Plainte
Dispute,Contestation
"Matched Address only (no ZIP)","Correspondance des adresses seulement (sans le code postal)"
"Matched Address only (no ZIP) International","Correspondance des adresses internationnales seulement (sans le code postal)"
"No Details matched","Aucune correspondance trouvée"
"No Details matched. International","Aucune correspondance trouvée. International"
"Exact Match.","Correspondance exacte."
"Exact Match. Address and Postal Code. International","Correspondance exacte. Adresse et code postal. International"
"Exact Match. Address and Postal Code. UK-specific","Correspondance exacte. Adresse et code postal. Spécifique au Royaume-Uni"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Transaction non autorisé. MOTO (Internet/Phone)"
"N/A. Global Unavailable","N/A. Global Indisponible"
"N/A. International Unavailable","N/A. International Indisponible"
"Matched five-digit ZIP only (no Address)","Correspondance sur 5 chiffres du code postal uniquement"
"Matched Postal Code only (no Address)","Correspondance du code postal uniquement"
"N/A. Retry","N/A. Recommencer"
"N/A. Service not Supported","N/A. Service non supporté"
"N/A. Unavailable","N/A. Indisponible."
"Matched whole nine-didgit ZIP (no Address)","Correspondance sur 9 chiffres du code postal"
"Yes. Matched Address and five-didgit ZIP","Oui, Correspondance de l'adresse et du code postal à 5 chiffres"
"All the address information matched","Vérification de toutes les informations de l'adresse"
"None of the address information matched","Aucune correspondance trouvée dans l'adresse"
"Part of the address information matched","Correspondance trouvée sur une partie de l'adresse."
"N/A. The merchant did not provide AVS information","N/A. Le commerçant n'a pas fourni d'information AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. L'adresse n'a pas été vérifié, ou l'acquéreur n'a pas donné de réponse. Service non disponible"
"Matched (CVV2CSC)","Correspondance (CVV2CSC)"
"No match","Aucune correspondance"
"N/A. Not processed","N/A. Non traitée"
"N/A. Service not supported","N/A. Service non supporté"
"N/A. Service not available","N/A. Service indisponible"
"N/A. No response","N/A. Aucune réponse"
"Matched (CVV2)","Correspondance (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Le commerçant n'a pas mis en œuvre de code CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. CVV2 n'est pas présent sur la carte"
CNPJ,CNPJ
CPF,CPF
"Note: %1","Note : %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Type Affaire ""%2"". Affaire ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Un différend a été résolu et cloturé. %2 Montant de la transaction %3."
"You notified customer about invoice #%1.","Vous notifiez le client sur la facture n°%1."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Montant de Transaction %3. Transaction ID: ""%4"""
"You notified customer about creditmemo #%1.","Vous notifiez le client sur le remboursement n°%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Unable to fetch transaction details.","Impossible de récupérer les détails de la transaction."
"Invalid method %1::%2(%3)","Méthode invalide %1::%2(%3)"
"Transaction has been declined","La transaction a été refusée"
"Error processing payment, please try again later.","Erreur sur le traitement du paiement, veuillez essayer une nouvelle fois plus tard."
"We cannot send the new order email.","Nous ne pouvons pas envoyer le nouvel e-mail de commande."
"You cannot void a verification transaction.","Vous ne pouvez pas annuler une opération de transaction."
"You need an authorization transaction to void.","Vous avez besoin d'une transaction d'autorisation pour annuler."
"We cannot create a target file for reading reports.","Nous ne pouvons pas créer un fichier cible pour la lecture des rapports."
"Report Date","Date du rapport"
"Merchant Account","Compte marchand"
"Transaction ID","ID Transaction"
"Invoice ID","ID Facture"
"PayPal Reference ID","Référence PayPal ID"
"PayPal Reference ID Type","Référence PayPal ID Type"
"Event Code","Code d'événement"
Event,Evénement
"Finish Date","Date de fin"
"Debit or Credit","Débit ou crédit"
"Gross Amount","Montant brut"
"Fee Debit or Credit","Frais de débit ou de crédit"
"Fee Amount","Montant des Frais"
"Order ID","ID Commande"
"Preapproved Payment ID","Paiement pré-approuvés ID"
"Subscription ID","ID Abonnement"
Credit,Crédit
Debit,Débit
"ACH Deposit (Hold for Dispute or Other Investigation)","Dépôt d'ACH (prise pour le conflit ou toute autre recherche)"
"ACH Deposit (Reversal)","Dépôt d'ACH (inversion)"
"ACH Funding for Funds Recovery from Account Balance","Placement d'ACH pour le rétablissement de fonds de l'équilibre de compte"
"ACH Withdrawal","Retrait d'ACH"
"Account-to-Account Payment, initiated by PayPal","Paiement de Compte à compte, initié par PayPal"
"Auction Payment other than through eBay","Paiement des enchères autres que par le biais d'eBay"
AutoSweep,"Champ automatique"
"Available Balance","Solde disponible"
"Balance Manager Account Bonus","Compte de gestion de la balance bonus"
"Bonus for first ACH Use","Bonus pour la première utilisation ACH"
"Buyer Credit Payment","Paiement de crédit acheteur"
Charge-off,"Frais de dossier"
"Coupon Redemption","Remboursement de coupon"
"Currency Conversion required to cover negative balance","Conversion des devises nécessaires pour couvrir un solde négatif"
"Debit Card Cash Back","Retour d'argent par carte de débit"
"Debit Card Transaction","Transaction par carte de débit"
"Direct Payment API","API Paiement direct"
"EFT Funding (German banking)","Placement d'EFT (opérations bancaires allemandes)"
"Express Checkout APIs","APIs de Express Checkout"
"Fee Reversal","Frais d'inversion"
"Fee: Foreign ACH Withdrawal","Frais : Retrait ACH étrangères"
"Fee: Mass Pay Request","Frais : demande de paiement de masse"
"Fee: Web Site Payments Pro Account Monthly","Frais : Paiements du site Web de compte mensuel Pro"
"Fee: WorldLink Check Withdrawal","Frais : retrait par chèque WorldLink"
Funding,Financement
"General (Authorization)","Général (Autorisation)"
"General (Dividend)","Général (dividendes)"
"General (Funds Transfer from PayPal Account to Another)","Général (transfert de fonds de compte PayPal à un autre)"
"General (Purchase with a credit card)","Généraux (achat avec une carte de crédit)"
"General Adjustment without businessrelated event","Ajustement général sans événement lié au marché"
"General Currency Conversion","Conversion de devises général"
"General Funding of PayPal Account ","Financement général de compte PayPal "
"General Redemption","Remboursement général"
"General Withdrawal from PayPal Account","Retrait général de compte PayPal"
"General. Product no longer supported","Généralités. Ce produit n'est plus pris en charge"
"General: Use of PayPal account for purchasing as well as receiving payments","Compte général : utilisation de PayPal pour l'achat ainsi que la réception des paiements"
"General: Withdrawal from PayPal Account","Général : Retrait de compte PayPal"
"General: Withdrawal to Non-Bank Entity","Général : Retrait à l'entité non-bancaire"
"General: adjustment of a type not belonging to the other T12xx categories","Général : ajustement d'un type n'appartenant pas aux autres catégories de T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Général : bonification d'un type n'appartenant pas aux autres catégories de T08xx"
"General: event not yet categorized","Général : événement pas encore classé par catégorie"
"General: non-payment fee of a type not belonging to the other T01xx categories","Général : Taxe de non-paiement d'un type qui n'appartiennent pas aux autres catégories T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Général : paiement reçu d'un type n'appartenant pas aux autres catégories de T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Général : inversion d'un type n'appartenant pas aux autres catégories de T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Général : suspension temporaire d'un type qui n'appartiennent pas aux autres catégories T15xx"
"Gift Certificate Payment: purchase of Gift Certificate","Paiement par chèque cadeau : achat de chèques cadeaux"
"Gift Certificate Redemption","Rachat de Chèque Cadeau"
"Hidden Virtual PayPal Debit Card Transaction","Transaction virtuelle cachée de carte de débit de PayPal"
"Hold for Dispute Investigation","Bloquer pendant l'enquête de litige"
Incentive,Incitation
"Mass Pay Payment","Paiement en masse de salaire"
"Merchant Referral Bonus","Prime de recommandation marchande"
"Mobile Payment (made via a mobile phone)","Paiement par mobile (réalisées par l'intermédiaire d'un téléphone mobile)"
"Negative Balance","Solde négatif"
"Open Authorization","Ouvrez l'autorisation"
"PayPal Balance Manager function of PayPal account","Fonction du gestionnaire PayPal solde du compte PayPal"
"PayPal Buyer Warranty Bonus","PayPal bonus garantie acheteur"
"PayPal Debit Card Cash Advance","PayPal avance de trésorerie de débit par carte"
"PayPal Debit Card Withdrawal from ATM","PayPal par carte de débit Retrait ATM"
"PayPal Protection Bonus","Bonus de protection PayPal"
"Payment Refund initiated by merchant","Remboursement de paiement initié par le marchand"
"Points Incentive Redemption","Rachat d'incitation de points"
"Postage Payment to either USPS or UPS","Frais de port paiement soit USPS ou UPS"
"Preapproved Payment (BillUser API, either sent or received","Paiement préapprouvés (API BillUser, soit envoyé ou reçu"
Reauthorization,Réautorisation
"Reimbursement of Chargeback","Remboursement des rejets de débit."
Reversal,Inversion
"Reversal of General Account Hold","Inversion de prise de compte général"
"Reversal of Points Usage","Inversion d'utilisation de points"
"Reversal of hold for Dispute Investigation","Débloquer pendant l'enquête de litige"
"Reward Voucher Redemption","Rachat de bon de récompense"
"Settlement Consolidation","Consolidation de règlement"
"Subscription Payment, either payment sent or payment received","Paiement d'abonnement, paiement envoyé ou paiement reçu"
"User-initiated Currency Conversion","L'utilisateur de conversion de devises lancé"
"Virtual PayPal Debit Card Transaction","Virtual transaction PayPal par carte de débit"
"Virtual Terminal Payment","Terminal de paiement virtuel"
Void,Invalider
"WorldLink Withdrawal","Retrait WorldLink"
"eBay Auction Payment","Paiement des enchères eBay"
"The PayPal certificate file is empty.","Le fichier de certificat PayPal est vide."
"Header (center)","Header (centre)"
"Sidebar (right)","Sidebar (à droite)"
"Near PayPal Credit checkout button","Près du bouton PayPal de paiement de crédit"
"Every 3 days","Tous les 3 jours"
"Every 7 days","Tous les 7 jours"
"Every 10 days","Tous les 10 jours"
"Every 14 days","Tous les 14 jours"
"Every 30 days","Tous les 30 jours"
"Every 40 days","Tous les 40 jours"
"No Logo","Auncun Logo"
"Yes (PayPal recommends this option)","Oui (PayPal recommande cette option)"
"Created billing agreement #%1.","Entente de facturation n°%1 créée."
"Pending PayPal","En attente de PayPal"
"PayPal Reversed","PayPal Remboursement"
"PayPal Canceled Reversal","PayPal Remboursement Annulé"
"Billing Agreement","Entente de facturation"
"Created At","Créé le"
"Updated At","Mise à jour à"
"Not sure what PayPal payment method to use? Click ","Pas sûr de ce mode de paiement à utiliser sur PayPal? Cliquez "
here,ici
" to learn more."," pour apprendre plus."
"Important: ","Important : "
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Pour utiliser PayPal Paiements Avancée, vous devez configurer votre compte PayPal Paiements Avancée sur le site PayPal."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Une fois connectez à votre compte PayPal Avancée, accédez aux paramètres de service – Hébergement Pages de Commande - menu de configuration de et définissez les options décrites ci-dessous"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Pour utiliser PayPal Payflow Link, vous devez configurer votre compte de PayPal Payflow lien sur le site PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Une fois connecter à votre compte PayPal Payflow Link, accédez aux paramètres de service – Hébergement Pages de Commande - menu de configuration de et définissez les options décrites ci-dessous"
"Billing Agreement # ","Entente de facturation # "
"Agreement Information","Information de l'entente"
"Reference ID:","ID de réference :"
Status:,"Statut :"
Created:,"Créé :"
Updated:,"Modifié :"
"Payment Method:","Mode de paiement :"
"Ship To","Livré à"
"Order Status",Statut
"Back to Billing Agreements","Retour aux ententes de facturation"
"There are no billing agreements yet.","Il n'existe aucune entente de facturation pour le moment."
"New Billing Agreement","Nouvelle entente de facturation"
"You will be redirected to the payment system website.","Vous allez être redirigé vers le site Web du système de paiement."
Create...,Créer...
"Your credit card will be charged for","Votre carte de crédit sera débitée de"
"Your billing agreement # is: ","Votre identifiant d'entente de facturation est : "
"Please select a shipping method...","Sélectionnez un mode de livraison..."
"Update Shipping Method","Changer de mode de livraison"
"Buy now with PayPal","Acheter maintenant avec PayPal"
"Edit Payment Information","Modifier l'information sur le paiement"
"Items in Your Shopping Cart","Articles dans votre panier"
"Edit Shopping Cart","Modifier le panier"
"Please update order data to get shipping methods and rates","Veuillez mettre à jour les données de commande pour obtenir les modes et tarifs de livraison"
"Checkout with PayPal","Commander avec PayPal"
"Please do not refresh the page until you complete payment.","Veuillez ne pas rafraîchir la page jusqu'à la fin du paiement."
"You will be required to enter your payment details after you place an order.","Vous devrez saisir les informations de paiement après la validation de votre commande."
"Additional Options","Options additionnelles"
"-- Please Select Billing Agreement--","-- Veuillez choisir l'entente de facturation--"
"Acceptance Mark","Marque d'acceptation"
"What is PayPal?","Qu'est-ce que PayPal ?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Signer un entente de facturation afin de rationaliser davantage les achats avec PayPal."
"Sorry, something went wrong.","Désolé, quelque chose s'est mal passé."
"Merchant Location","Localisation du marchand"
"Merchant Country","Pays du marchand"
"If not specified, Default Country from General Config will be used","S'il n'est pas spécifié, le pays par défaut dans la configuration général sera utilisé"
"Choose a secure bundled payment solution for your business.","Choisissez une solution de paiement sécurisé fourni pour votre entreprise."
"Payments Pro and Express Checkout","Payments Pro et Express Checkout"
"Basic Settings - PayPal Payments Pro","Réglages de base - Paiements PayPal Pro"
"PayPal Payment Gateways","PayPal passerelles de paiement"
"Process payments using your own internet merchant account.","Traiter les paiements en utilisant votre propre compte marchand Internet."
"PayPal Express Checkout","PayPal Express Checkout"
"Add another payment method to your existing solution or as a stand-alone option.","Ajouter un autre mode de paiement à votre solution existante ou en tant qu'une option autonome."
1,1
"Accept payments with a completely customizable checkout page.","Accepter les paiements avec une page de paiement entièrement personnalisable."
"PayPal Payment Solutions","Solutions de paiement PayPal"
"Express Checkout","Express Checkout"
"Add PayPal as an additional payment method to your checkout page.","Ajouter PayPal comme moyen de paiement supplémentaire à votre page de paiement."
"Required PayPal Settings","Réglages PayPal requis"
"Email Associated with PayPal Merchant Account","E-mail associée à Compte Marchand PayPal"
"Don't have a PayPal account? Simply enter your email address.","Vous n'avez pas de compte PayPal ? Il suffit d'entrer votre adresse e-mail."
"API Authentication Methods","Modes d'authentification de l'API"
"API Username","Pseudo API"
"API Password","Mot de passe API"
"Get Credentials from PayPal","Obtenez les informations d'accès de PayPal"
"Sandbox Credentials","Informations d'accès en mode Sandbox"
"API Uses Proxy","API utilisant un proxy"
"Proxy Host","Hôte proxy"
"Proxy Port","Port de proxy"
"Enable PayPal Credit","Activer Crédit PayPal"
"Advertise PayPal Credit","Faites de la publicité crédit PayPal"
"Required to display a banner","Nécessaire pour afficher une bannière"
"Get Publisher ID from PayPal","Obtenez l'ID Editeur de PayPal"
"Home Page","Page d'accueil"
Display,Affichage
"Catalog Category Page","Page Catégorie Catalogue"
"Catalog Product Page","Page Produit Catalogue"
"Checkout Cart Page","Page Achat Panier"
"Basic Settings - PayPal Express Checkout","Paramètres de base - PayPal Express Checkout"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","Il est recommandé de définir cette valeur à ""Magento_Paypal"" par vue de magasin."
"Display on Product Details Page","Affichage sur Détails Page Produit"
"Authorization Honor Period (days)","Période d'autorisation d'honneur (jours)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Indiquez quelle est la période d'autorisation d'honneur sur ​​le compte PayPal du marchand. Il doit refléter le paramétrage dans PayPal."
"Order Valid Period (days)","Période de validité d'une commande (jours)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Indiquez quelle est la période de validité de commande sur ​​le compte PayPal du marchand. Il doit refléter le paramétrage dans PayPal."
"Number of Child Authorizations","Nombre d'autorisations enfants"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Le nombre par défaut d'autorisations enfants dans votre compte Paypal est de 1. Veuillez contacter PayPal pour demander une augmentation."
"Also affects mini-shopping cart.","Affecte également le panier de mini-achats."
"Payment Applicable From","Paiement valable depuis"
"Countries Payment Applicable From","Pays applicables pour le paiement"
"Debug Mode","Mode debug"
"Enable SSL verification","Activer la vérification SSL"
"Transfer Cart Line Items","Transférer les articles dans votre panier"
"Transfer Shipping Options","Options d'expédition de transfert"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Si cette option est activée, le client peut changer l'adresse de livraison et d'expédition méthode sur le site de PayPal. Travail en mode direct via le protocole HTTPS uniquement."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","PayPal est capable de gérer jusqu'à 10 options de livraison. C'est pour cela que Magento transfèrera uniquement les 10 options de livraison les moins chères s'il y en a plus que 10."
"Shortcut Buttons Flavor","Boutons de raccourci Flavor"
"Enable PayPal Guest Checkout","Activer le passage de commande pour invité avec PayPal"
"Ability for buyer to purchase without PayPal account.","Capacité pour l'acheteur d'acheter sans compte PayPal."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Cette fonctionnalité doit d'abord être activée pour le compte commerçant via le support technique de PayPal."
"Billing Agreement Signup","Engagement d'entente de facturation "
"Whether to create a billing agreement, if there are no active billing agreements available.","Créer une entente de facturation, s'il n'y a aucune entente de facturation active disponible."
"Skip Order Review Step","Aller directement Revoir les étapes de Commande "
"PayPal Billing Agreement Settings","Paramètres d'entente de facturation PayPal"
"Allow in Billing Agreement Wizard","Autoriser dans l'assistant d'entente de facturation"
"Settlement Report Settings","Les paramètres du rapport de règlement"
"SFTP Credentials","Informations d'accès SFTP"
"Custom Endpoint Hostname or IP-Address","Critère Personnalisé Hostname ou adresse IP"
"By default it is ""reports.paypal.com"".","Par défaut il est ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Employez les deux points pour spécifier le port. Par exemple : ""test.example.com:5224""."
"Custom Path","Chemin d'accès personnalisé"
"Scheduled Fetching","Récupération de ligne"
"Enable Automatic Fetching","Activer la récupération automatique"
Schedule,Programme
"PayPal retains reports for 45 days.","PayPal conserve des rapports pendant 45 jours."
"Time of Day","Heure du jour"
"Frontend Experience Settings","Paramètres d'expérience en frontend"
"PayPal Product Logo","Logo du produit PayPal"
"Displays on catalog pages and homepage.","L'affichage sur les pages de catalogue et l'accueil."
"PayPal Merchant Pages Style","PayPal marchand pages de style"
"Page Style","Style de page"
"Header Image URL","URL de l'image d'entête"
"Header Background Color","Couleur d'arrière plan de l'entête"
"Header Border Color","Couleur de la bordure de l'entête"
"2-pixel perimeter around the header space.","Périmètre de 2 pixels autour de l'espace d'en-tête."
"Page Background Color","Couleur d'arrière plan de la page"
"Payments Advanced (Includes Express Checkout)","Paiements avancée (Comprend Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accepter les paiements avec un départ de la conformité PCI qui garde les clients sur votre site."
"Payments Advanced and Express Checkout","Paiements Avancée et Express Checkout"
Partner,Partenaire
Vendor,Vendeur
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal vous recommande de mettre en place un utilisateur supplémentaire dans votre compte à manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal vous recommande de mettre en place un utilisateur supplémentaire dans votre compte à manager.paypal.com, au lieu d'entrer votre nom d'utilisateur et mot de passe admin ici. Cela permettra d'améliorer votre sécurité et éviter les interruptions de service si vous changez votre mot de passe plus tard. Si vous ne voulez pas mettre en place un utilisateur supplémentaire, vous pouvez réintégrer votre compte marchand ici."
"Use Proxy","Utiliser un proxy"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Il est recommandé de fixer cette valeur à ""Carte de débit ou de crédit"" pour chaque vue magasin."
"CVV Entry is Editable","Entrée CVV est modifiable"
"Require CVV Entry","Entrée CVV Exiger"
"Send Email Confirmation","Envoyer E-mail de Confirmation"
"URL method for Cancel URL and Return URL","Méthode d'URL pour Annuler URL et URL de retour"
"Payflow Link (Includes Express Checkout)","Payflow Link (Comprend Express Checkout)"
