Integrations,Intégrations
"Token verifier and verifier token do not match","L\'authentification et la vérification d\'identifieur ne corresponde pas"
"A consumer with the ID %1 does not exist","L\'API avec l\'ID%1 n\'existe pas"
"Token is not the correct length","API n\'ayant pas la bonne longueur"
"Specified token does not exist","L\'authentification spécifié n\'existe pas"
"A token with consumer ID %1 does not exist","L\'authentification avec l\'API ID %1 n\'existe pas"
"Unexpected error. Unable to create oAuth consumer account.","Erreur inattendue. Impossible de créer le compte d\'authenfication oAuth."
"Unexpected error. Unable to load oAuth consumer account.","Erreur inattendue. Impossible de charger le compte d\'authenfication oAuth."
"A consumer with ID %1 does not exist","L\'authentification avec ID %1 n\'existe pas"
"Unable to post data to consumer due to an unexpected error","Impossible de publier des données de l\'authentification en raison d\'une erreur inattendue"
"Invalid token to except","Exception d\'authentification invalide"
"A token with consumer ID 0 does not exist","L\'identificateur d\'authenfication avec l\'ID 0 n\'existe pas"
"The integration you selected asks you to approve access to the following:","L\'intégration vous avez sélectionné vous demande d\'approuver l\'accès à ce qui suit:"
"No permissions requested","Aucune autorisation demandé"
"Are you sure ?","Êtes-vous sûr ?"
"Please setup or sign in into your 3rd party account to complete setup of this integration.","Veuillez configurer ou vous connecter à votre compte 3ème partie pour terminer l\'installation de cette intégration."
"Available APIs","APIs Disponible"
"Resource Access","Accès aux ressources"
Custom,Personnalisé
Resources,Ressources
"Sorry, something went wrong. Please try again later.","Désolé, quelque chose s\'est mal passé. Veuillez réessayer plus tard."
Allow,Autoriser
OAuth,OAuth
"Cleanup Settings","Paramètres de nettoyage"
"Cleanup Probability","Probabilité de nettoyage"
"Expiration Period","Période d\'expiration"
"Consumer Settings","Paramètres Authentification"
"OAuth consumer credentials HTTP Post maxredirects","OAuth les informations d\'identification d\'authenfication HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth les informations d\'identification d\'authenfication HTTP Post timeout"
"Integrations Configuration","Configuration Intégrations"
"Integration configuration file.","Fichier de configuration de l\'intégration."
"Integrations API Configuration","Configuration intégrations API"
"Integrations API configuration file.","Intégrations API du fichier de configuration."
"No Integrations Found","Aucun Integrations trouvés"
