"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Mot de passe oublié ? Cliquez <a href=""%reset_url"">ici</a> pour le réinitialiser."
"When you sign in to your account, you will be able to:","Lorsque vous vous connecter à votre compte, vous pourrez :"
"Proceed through checkout faster","Passer vos commandes plus rapidement"
"Check the status of orders","Vérifier le statut des commandes"
"View past orders","Voir vos commandes précédentes"
"Store alternative addresses (for shipping to multiple family members and friends)","Adresses alternatives de livraison (pour expédition multiples aux membres de la famille et aux amis)"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Vous devez confirmer votre e-mail %customer_e-mail avant que vous puissiez vous connecter (le lien n\'est valable qu\'une seule fois):"
"Confirm Your Account","Confirmez votre compte"
"Thank you for confirming your %store_name account.","Merci de %store confirmer_votre compte."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Pour vous connecter à notre site et définir un mot de passe, cliquez sur ce <a href=""%create_password_url"">lien</a>:"
"There was recently a request to change the password for your account.","Nous avons reçu une demande pour changer le mot de passe de cotre compte."
"If you requested this change, set a new password here:","Si vous avez demandé ce changement, définir un nouveau mot de passe ici:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Si vous n\'avez pas effectué cette demande, vous pouvez ignorer cet e-mail : votre mot de passe restera le même."
"The password for your account has been successfully changed.","Le mot de passe de votre compte a bien été modifié."
"If you did not request this change, please contact us.","Si vous n\'avez pas effectué cette demande, veuillez nous contacter."
"Are you sure you want to delete this address?","Êtes-vous sûr de vouloir effacer cette adresse ?"
"Customer Configuration","Configuration client"
"Account Sharing Options","Options de partage de compte"
"Share Customer Accounts","Partager les comptes client"
"Create New Account Options","Options de création de nouveaux comptes"
"Enable Automatic Assignment to Customer Group","Activer l\'assignation automatique à un groupe clients"
"Tax Calculation Based On","Calcul de taxe basé sur"
"Default Group","Groupe par défaut"
"Group for Valid VAT ID - Domestic","Groupe pour un numéro de TVA invalide - Domestique"
"Group for Valid VAT ID - Intra-Union","Groupe pour un numéro de TVA invalide - Intra-Union"
"Group for Invalid VAT ID","Groupe pour un numéro de TVA invalide"
"Validation Error Group","Erreur validation de groupe"
"Validate on Each Transaction","Valider à chaque transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valeur par défaut pour la désactivation de changement automatique de groupe basé sur le numéro de TVA"
"Show VAT Number on Storefront","Afficher numéro de TVA sur la vue client"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Pour afficher le numéro de TVA sur la vue client, définissez l\'affichage du numéro de TVA du Magasin sur l\'option Oui."
"Default Email Domain","Nom de Domaine d\'e-mail par défaut"
"Default Welcome Email","E-mail d\'accueil par défaut"
"Default Welcome Email Without Password","E-mail d\'accueil par défaut sans mot de passe"
"Require Emails Confirmation","Nécessite la confirmation par e-mail"
"Confirmation Link Email","E-mail de lien de confirmation"
"Welcome Email","E-mail de bienvenue"
"Generate Human-Friendly Customer ID","Générer un ID client étant plus facile à lire"
"Password Options","Options de mot de passe"
"Forgot Email Template","Gabarit de l\'e-mail d\'oubli"
"Remind Email Template","Gabarit d\'e-mail de rappel"
"Reset Password Template","Gabarit de réinitialisation de mot de passe"
"Password Template Email Sender","Gabarit expéditeur pour l\'envoi du mot de passe"
"Name and Address Options","Options de nom et d\'adresse"
"Number of Lines in a Street Address","Nombre de lignes dans une adresse de rue"
"Leave empty for default (2). Valid range: 1-4","Laisser vide pour utiliser la valeur par défaut (2). Éventail autorisé : 1-4"
"Show Prefix","Afficher le préfixe"
"The title that goes before name (Mr., Mrs., etc.)","Le préfixe vient avant le nom (Mr, Mme, etc.)"
"Prefix Dropdown Options","Options de la liste déroulante des préfixes"
"Show Middle Name (initial)","Afficher les initiales"
"Always optional.","Toujours optionnel."
"Show Suffix","Afficher le suffixe"
"The suffix that goes after name (Jr., Sr., etc.)","Le suffixe vient après le nom (Jr., Sr., etc.)"
"Suffix Dropdown Options","Options de la liste déroulante des suffixes"
"Show Date of Birth","Afficher la date de naissance"
"Show Tax/VAT Number","Afficher le numéro de TVA intracommunautaire"
"Show Gender","Afficher le genre"
"Login Options","Options de connexion"
"Redirect Customer to Account Dashboard after Logging in","Rediriger les clients vers leur tableau de bord après connexion"
"Customer will stay on the current page if ""No"" is selected.","Le client restera sur la page en cours si ""Non"" est sélectionné."
"Address Templates","Gabarit d\'adresse"
"Online Customers Options","Options des clients en ligne"
"Online Minutes Interval","Intervalle en minutes"
"Leave empty for default (15 minutes).","Laisser vide pour utiliser la valeur par défaut (15 minutes)."
"Enable Autocomplete on login/forgot password forms","Activer la saisie semi-automatique sur formulaire de commexion/mot de passe oublié"
"Customer Grid","Grille client"
"Rebuild Customer grid index","Reconstruire la grille index de client"
Group,Groupe
"Add New Customer","Ajouter un nouveau client"
"Are you sure to delete selected customers?","Êtes-vous sûr de vouloir supprimer les clients sélectionnés?"
"Unsubscribe from Newsletter","Se désinscrire de la newsletter"
"Are you sure to unsubscribe selected customers from newsletter?","Êtes-vous sûr de vouloir vous désinscrire les clients sélectionnés de la newsletter?"
"Assign a Customer Group","Assigner un groupe clients"
"Are you sure to assign selected customers to new group?","Etes-vous sûr d\'assigner des clients sélectionnés au nouveau groupe?"
Phone,Téléphone
ZIP,"Code postal"
"Customer Since","Client depuis"
"Last Logged In","Dernière connexion"
"Confirmed email","E-mail confirmé"
"Account Created in","Compte créé dans"
"Tax VAT Number","Numéro de TVA"
"Billing Firstname","Facturation Prénom"
"Billing Lastname","Facturation Nom"
"Last Activity","Dernière activité"
"Customer Information","Informations client"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Si votre site Magento a plusieurs magasins, vous pouvez définir la portée à appliquer pour une vue spécifique."
"Send Welcome Email From","Envoyer le message de bienvenue Depuis"
Addresses,Adresses
"Are you sure you want to delete this item?","Êtes-vous sûr de bien vouloir supprimer cet élément?"
"Account Dashboard","Tableau de bord du compte"
"Edit Account Information","Modifier les informations du compte"
"Password forgotten","Mot de passe oublié"
"My Dashboard","Mon tableau de bord"
"You are signed out.","Vous êtes déconnecté."
