Root,Racine
"Edit Product Attribute","Modifier l'attribut produit"
"Something went wrong while saving the attribute.","Une erreur s'est produite lors de l'enregistrement de l'attribut."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Code d'attribut ""%1"" invalide. Veuillez utiliser uniquement des lettres (az), des chiffres (0-9) ou de soulignement (_) dans ce domaine, le premier caractère doit être une lettre."
"You saved the product attribute.","Vous avez enregsitré l'attribut du produit."
"An attribute with this code already exists.","Un attribut avec ce code existe déjà."
"An attribute with the same code (%1) already exists.","Un attribut avec le même code (%1) existe déjà."
"You duplicated the product.","Vous dupliqué le produit."
"This product no longer exists.","Ce produit n'existe plus."
Products,Produits
"A group with the same name already exists.","Il existe déjà un groupe portant ce nom."
"Something went wrong while saving this group.","Une erreur s'est produite lors de l'enregistrement de ce groupe."
"A total of %1 record(s) have been deleted.","Un total de 1% enregistrement(s) supprimé(s)."
"A total of %1 record(s) have been updated.","Un total de %1 enregistrement(s) mis à jour."
"Something went wrong while updating the product(s) status.","Une erreur s'est produite lors de l'actualisation du statut produit(s)."
"Unable to save product","Impossible d'enregistrer le produit"
"You saved the product.","Vous avez enregistré le produit."
"SKU for product %1 has been changed to %2.","REF pour le produit %1 a été changé à %2."
"The image cannot be removed as it has been assigned to the other image role","L'image ne peut pas être éliminé car elle a été affecté à un autre rôle d'image"
"New Attribute Set","Nouveau groupe d'attributs"
"The attribute set has been removed.","Le groupe d'attributs a été supprimé."
"New Set","Nouveau groupe"
"Manage Product Sets","Gérer les groupes de produits"
"Manage Attribute Sets","Gérer les groupes d'attributs"
"This attribute set no longer exists.","Ce groupe d'attributs n'existe plus."
"You saved the attribute set.","Vous avez enregistré le groupe d'attributs."
"Something went wrong while saving the attribute set.","Une erreur s'est produite lors de l'enregistrement du groupe d'attribut."
"You added product %1 to the comparison list.","Vous avez ajouté le produit %1 à la liste de comparaison."
"You cleared the comparison list.","Vous avez vidé la liste de comparaison."
"Something went wrong  clearing the comparison list.","Une erreur s'est produite lors du vidage de la liste de comparaison."
"You removed product %1 from the comparison list.","Vous avez supprimé le produit %1 de la liste de comparaison."
"1 item","1 produit"
"%1 items","%1 produits"
"Invalid attribute %1","Attribut invalide : %1"
"Product is not loaded","Le produit ne c'est pas chargé."
"Bad controller interface for showing product","Mauvaise nterface de contrôleur pour montrer le produit"
"Make sure the To Date is later than or the same as the From Date.","Assurez-vous que la Date de fin soit postérieure ou identique à la Date d'entrée."
"The value of attribute ""%1"" must be unique.","La valeur de l'attribut ""%1"" doit être unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Liste des produits Par défaut Trier par n'existe pas dans Liste produits Disponible Trier par."
"No layout updates","Aucune mise à jour de mise en page"
"Products only","Produits seulement"
"Static block only","Bloc statique uniquement"
"Static block and products","Bloc statique et produits"
"Please select a static block.","Veuillez sélectionner un bloc statique."
frontend_label,frontend_label
"Could not save product ""%1"" with position %2 to category %3","Impossible d'enregistrer le  produit ""%1"" avec la position %2 dans la catégorie %3"
"Category does not contain specified product","Catégorie ne contient pas de produit spécifié"
"Could not save product ""%product"" with position %position to category %category","Impossible d'enregistrer le produit "" %produit"" avec la position %position désirée dans la catégorie %category"
"Operation do not allow to move a parent category to any of children category","Opération ne permettent pas de déplacer une catégorie parent a une quelconque catégorie enfants"
"Could not move category","Impossible de déplacer la catégorie"
"Could not save category: %1","Impossible d'enregistrer la catégorie: %1"
"Cannot delete category with id %1","Vous ne pouvez pas supprimer la catégorie ayant cette id %1"
"-- Please Select a Category --","-- Veuillez sélectionner une catégorie --"
"Grid Only","Grille uniquement"
"List Only","Liste seulement"
"Grid (default) / List","Grille (par défaut) / Liste"
"List (default) / Grid","Liste (par défaut) / grille"
"Automatic (equalize price ranges)","Automatique (égalise les tranches de prix)"
"Automatic (equalize product counts)","Automatique (égalise le nombre de produits)"
Manual,Manuel
"-- Please select --","-- Veuillez choisir --"
"Product Thumbnail Itself","Vignette du produit lui-même"
"Parent Product Thumbnail","Vignette du produit parent"
"12h AM/PM","12h AM/PM"
24h,24h
Stretch,Elargir
Tile,Mosaïque
Top/Left,"En haut à gauche"
Top/Right,"En haut à droite"
Bottom/Left,"En bas à gauche"
Bottom/Right,"En bas à droite"
Center,Centrer
"Unknown EAV indexer type ""%1"".","Type Indexer EAV inconnu : ""%1""."
"Bad value was supplied.","Mauvaise valeur fournie."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Le module de catalogue à plat a une limite de %2$d filtrables et/ou d'attributs triables. Actuellement, il y a %1$d d'entre eux. Veuillez diminuer le nombre d'attributs filtrables/triables pour utiliser ce module"
"Unsupported product type ""%1"".","Type de produit non supporté : ""%1""."
"Please correct the category.","Veuillez corriger la catégorie."
"Must be category model instance or its id.","Doit être par exemple la catégorie de modèle ou de son ID."
"The attribute model is not defined.","Le modèle d'attribut n'est pas défini."
"%1 was not found in algorithms","%1 n'a pas été trouvé dans les algorithmes"
"The filter must be an object. Please set the correct filter.","Le filtre doit être un objet. Veuillez régler le filtre approprié."
"Clear Price","Effacer le prix"
"The filters must be an array.","Les filtres doivent être sous forme de tableau."
"The image does not exist.","L'image n'existe pas."
"Please correct the image file type.","Veuillez corriger le type de fichier d'image."
"Group price must be a number greater than 0.","Prix de groupe doit être un nombre supérieur à 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Convertisseur Galerie des médias doit être une instance de EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Il n'y a pas pour MediaGalleryEntryConverter de type donné"
"Please enter a number 0 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 0 dans ce champ."
"The value of attribute ""%1"" must be set","La valeur de l'attribut ""%1"" doit être réglé"
"SKU length should be %1 characters maximum.","La longueur maxi pour la référence est de %1 caractères."
"Please enter a valid number in this field.","Veuillez saisir un nombre valide."
"We found a duplicate website, tier price, customer group and quantity.","Nous avons trouvé un duplicata de site, prix par palier, groupe de clients et de quantité."
"Invalid option id %1","Invalide option id %1"
"Can not create attribute set based on non product attribute set.","Vous ne pouvez pas créer le groupe d'attribut de base sur un attribut de produit."
"Can not create attribute set based on not existing attribute set","Vous ne pouvez pas créer le groupe d'attribut de base sur un attribut inexistant."
"Provided Attribute set non product Attribute set.","Fournir le groupe d'attribut maist pas l'attribut produit."
"Use config","Utiliser la config"
"Attribute Set already exists.","Groupe d'attribut déjà existant."
"Requested product does not support images.","Le produit demandé ne supporte pas les images."
"The image content is not valid.","Le contenu de l'image n'est pas valide."
"Cannot save product.","Vous ne pouvez pas enregistrer le produit."
"Failed to save new media gallery entry.","Echec de l'enregistrement pour une nouvelle entrée de galerie de médias."
"There is no image with provided ID.","Il n'y a aucune image avec cette ID fourni."
"The option type to get group instance is incorrect.","Le type d'option pour obtenir instance de groupe est incorrect."
"Select type options required values rows.","Sélectionner les lignes des valeurs obligatoires d'options."
"Could not save product option","Impossible d'enregistrer l'option de produit"
"Could not remove custom option","Impossible de supprimer l'option personnalisée"
"Please specify date required option(s).","Veuillez préciser la date d'option(s) requise."
"Please specify time required option(s).","Veuillez préciser l'heure d'option(s) requise."
"The option instance type in options group is incorrect.","L'option type d'instance dans le groupe d'options est incorrecte."
"The product instance type in options group is incorrect.","Le type d'instance du produit dans le groupe d'options est incorrecte."
"The configuration item option instance in options group is incorrect.","L'option instance d'élément de configuration dans le groupe d'options est incorrecte."
"The configuration item instance in options group is incorrect.","L'instance d'élément de configuration dans le groupe d'options est incorrecte."
"The BuyRequest instance in options group is incorrect.","Le BuyRequest exemple dans le groupe d'options est incorrecte."
"The file options format is not valid.","Le format du fichier des options est non valide."
px.,px.
"The file '%1' for '%2' has an invalid extension.","Le fichier '%1' pour '%2' a une extension invalide."
"The maximum allowed image size for '%1' is %2x%3 px.","La taille maximale de l'image autorisée pour '%1' est %2 x 3% px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Le fichier ""%1"" que vous avez téléchargé est plus grand que les %2 mégaoctets permises par notre serveur."
"The file '%1' is empty. Please choose another one","Le fichier '%1' est vide. Merci d'en choisir un autre"
"The file '%1' is invalid. Please choose another one","Le fichier '%1' est invalide. Merci d'en choisir un autre"
"Validation failed. Required options were not filled or the file was not uploaded.","Echec de validation. Les options nécessaires ne sont pas remplies ou bien le fichier n'a pas été envoyés."
"The file you uploaded is larger than %1 Megabytes allowed by server","Le fichier envoyé a une taille supérieure à %1 Mo (maximum autorisé sur le serveur)"
"Option required.","Option requise."
"The file is empty. Please choose another one","Le fichier est vide. Merci d'en choisir un autre"
"Some of the selected item options are not currently available.","Certaines des options du produit sélectionné ne sont pas actuellement disponibles."
"The text is too long.","Le texte est trop long."
"Invalid data provided for tier_price","Données fournies invalide pour tier_price"
"Please provide valid data","Veuillez fournir des données valides"
"Values of following attributes are invalid: %1","Les valeurs d'attributs suivants sont invalides: %1"
"Could not save group price","Impossible d'enregistrer ce prix de groupe"
"The file upload failed.","Le chargement du fichier a échoué."
"The product has required options.","Le produit requière une ou plusieurs options."
"Something went wrong while processing the request.","Une erreur s'est produite lors du traitement de la demande."
"Not Visible Individually","Non visible individuellement"
"Catalog, Search","Catalogue, Recherche"
"Something went wrong while removing products from the websites.","Une erreur s'est produite lors de la suppression des produits des sites web."
"Something went wrong while adding products to websites.","Une erreur s'est produite lors de l'ajout des produits aux sites web."
"Group with id ""%1"" does not exist.","Groupe avec id ""%1"" n'existe pas."
"Attribute group that contains system attributes can not be deleted","Groupe d'attributs contenant des attributs système ne pouvant être supprimé"
"Collection provider is not registered","La collection fournis n'a pas été enregistré"
"Unknown link type: %1","Type de lien inconnu: %1"
"Provided link type ""%1"" does not exist","Type de lien fournis ""%1"" n'existant pas"
"Invalid data provided for linked products","Données fournies invalide pour la liaison des produits"
"Product with SKU %1 is not linked to product with SKU %2","Produit avec la REF %1 n'a pas été lié au produit ayant pour REF %2"
"Product option with id %1 does not exist","L'option de produit avec id %1 n'existe pas"
"Invalid product data: %1","Données de produit invalides : %1"
"Unable to remove product %1","Impossible de supprimer le produit %1"
"There are not websites for assign to product","Il n'y a pas de sites web pour l'assigner au produit"
"Could not assign product ""%1"" to websites ""%2""","Impossible d'assigner le produit ""%1"" à des sites Web ""%2"""
"Could not save product ""%1"" with websites %2","Impossible d'enregistrer le produit ""%1"" avec les sites Web %2"
"Do not change the scope. %1","Ne pas modifier la portée. %1"
"A product type is not defined for the indexer.","Aucun type de produit n'a été défini pour l'indexer."
"Multiple Select","Sélection multiple"
Dropdown,"Liste déroulante"
message,message
fl,fl
123,123
Select...,Sélectionner...
"Are you sure you want to delete this category?","Êtes-vous sûr de vouloir supprimer cette catégorie ?"
"ID: %1","ID : %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Définissez la catégorie racine pour ce magasin dans la <a href=""%1"">configuration</a>."
"This operation can take a long time","Cette opération peut prendre un certain temps"
"Collapse All","Tout réduire"
"Expand All","Tout développer"
"Manage Titles (Size, Color, etc.)","Gérer les titres (Taille, couleur, etc.)"
"Manage Options (values of your attribute)","Gérer les options (valeurs de vos attributs)"
"Add Option","Ajouter une option"
"Sort Option","Option de tri"
Groups,Groupes
"Double click on a group to rename it.","Double-cliquez sur un groupe pour le renommer."
"Unassigned Attributes","Attributs non assignés"
"A name is required.","Un nom est requis."
"This group contains system attributes. Please move system attributes to another group and try again.","Ce groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"Please enter a new group name.","Veuillez entrer un nouveau nom de groupe."
"Custom Options","Options personnalisables"
"This is a required option.","Cette option est requise."
"Compatible file extensions to upload","Extensions de fichier pris en charge à l’envoi de fichier"
"Maximum image width","Largeur maximum d'image"
"Maximum image height","Hauteur maximum d'image"
"Maximum number of characters:","Le nombre maximum de caractères:"
"start typing to search template","commencez à taper pour rechercher un modèle"
"Product online","Produit en ligne"
"Product offline","Produit hors ligne"
"Product online status","Statut visibilité du produit"
"Manage Stock","Gérer les stocks"
"Out-of-Stock Threshold","Qté pour que le statut du produit passe à épuisé"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Qty Uses Decimals","La quantité utilise des décimales"
Backorders,"Commande en rupture de stock"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Enable Qty Increments","Activer les incréments de quantités"
"Qty Increments","Incréments de quantités"
"Stock Availability","Disponibilité du stock"
"Add Product To Websites","Ajouter le produit aux sites web"
"Remove Product From Websites","Supprimer le produit des sites web"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Pour masquer un élément dans le catalogue ou des résultats de recherche, définissez le statut a ""Désactivé""."
"Delete Custom Option","Supprimer l'option personnalisée"
"Sort Custom Options","Trier les options personnalisées"
"Compatible File Extensions","Extensions de fichiers compatibles"
"Maximum Image Size","Taille d'image maximum"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Veuillez laisser vide si ce n'est pas une image."
Title,Titre
"Sort Custom Option","Trier l'option personnalisée"
"Max Characters","Nombre maxi de caractères"
"Item Price","Prix du produit"
Action,Action
"and above","et plus"
"Delete Tier","Effacer le palier"
"Product In Websites","Publier dans les sites web"
"(Copy data from: %1)","(Copier les données depuis : %1)"
"Alt Text","Texte alternatif"
Role,Rôle
"Hide from Product Page","Cacher dans la page du produit"
"Close panel","Fermer le panneau"
"Product Alerts","Alertes du produit"
"Allow Multiple Boxes for Shipping.","Autoriser plusieurs colis pour l'expédition."
"start typing to search attribute","commencez à taper pour rechercher un attribut"
"Basic Settings","Paramètres de base"
"Advanced Settings","Paramètres avancés"
"Special Price","Prix spécial"
"Buy %1 for: ","Acheter %1 pour: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Acheter %1 pour %2 pièce et <strong class=""benefit"">économisé<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Achetez-en %1 à %2 pièce"
"Shop By","Filtrer par"
"Shopping Options","Affiner la recherche"
"Compare Products","Comparer des produits"
"Print This Page","Imprimer cette page"
"Remove Product","Supprimer le produit"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"Remove This Item","Supprimer cet élément"
Compare,Comparer
"Clear All","Tout supprimer"
Prev,Précédent
"Learn More","En savoir plus"
"We found other products you might like!","Nous avons trouvé d'autres produits qui pourraient vous intéresser!"
"More Choices:","Plus de choix:"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"select all","sélectionner tout"
"Items %1-%2 of %3","Produits %1-%2 pour %3"
"%1 Item","%1 Produit"
"%1 Items","%1 Produits"
Show,Afficher
"Sort By","Trier par"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"View as","Afficher en"
"More Information","Plus d'information"
"Warning message","Message d'alerte"
"Configure Product","Configurer le produit"
"Select type of option.","Sélectionnez le type d'option."
"Please add rows to option.","Veuillez ajouter des lignes à l'option."
"Select Product","Sélection produit"
"Choose existing category.","Choisissez une catégorie existante."
"Create Category","Créer une catégorie"
"Image Detail","Détail Image"
"unselect all","désélectionner tout"
Small,Petite
Main,Principale
"Custom image","Image personnalisée"
"Product Fields Auto-Generation","Produit avec Auto-génération de champs"
"Mask for SKU","Paramètre pour REF"
"Use {{name}} as Product Name placeholder","Utilisez {{name}} comme support de Nom du produit"
"Mask for Meta Title","Paramètre pour Meta Titre"
"Mask for Meta Keywords","Paramètre pour Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Utiliser {{name}} comme Nom de produit ou {{sku}} comme support REF de produit"
"Mask for Meta Description","Paramètre pour Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Utilisez {{name}} et {{description}} comme support de Nom du produit et Description du produit"
Storefront,"Vue magasin client"
"List Mode","Mode d'affichage"
"Products per Page on Grid Allowed Values","Valeurs autorisées pour le nombre de produits par page sur l'affichage en grille"
Comma-separated.,"Séparées par des virgules."
"Products per Page on Grid Default Value","Valeur par défaut pour le nombre de produits par page sur l'affichage en grille"
"Must be in the allowed values list","Doit appartenir à la liste des valeurs autorisées"
"Products per Page on List Allowed Values","Valeurs autorisées pour le nombre de produits par page sur l'affichage en liste"
"Products per Page on List Default Value","Valeur par défaut pour le nombre de produits par page sur l'affichage en liste"
"Use Flat Catalog Category","Utiliser le catalogue à plat pour les catégories"
"Use Flat Catalog Product","Utiliser le catalogue à plat pour les produits"
"Product Listing Sort by","Tri des listes de produits"
"Allow All Products per Page","Autoriser tous les produits par page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Indique s'il faut montrer ""Tous"" dans l'option du menu déroulant ""Voir X par page"""
"Allow Dynamic Media URLs in Products and Categories","Autoriser les URLs de media dynamiques dans les produits et catégories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Par ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. L'analyse syntaxique des directives dynamiques peut affecter les performances du catalogue."
"Product Image Placeholders","Emplacements de l'image par défaut des produits"
"Page Title Separator","Séparateur de titre de page"
"Use Canonical Link Meta Tag For Categories","Utiliser un lien canonique de meta tag pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser un lien canonique de meta tag pour les produits"
"Catalog Price Scope","Portée des prix catalogue"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ceci définit la portée de la devise de base (""Configuration des devises"" -> ""Options devises"" -> ""Devise de base"")."
"Category Top Navigation","Navigation dans les catégories"
"Maximal Depth","Profondeur maxi"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Use JavaScript Calendar","Utiliser le calendrier JavaScript"
"Date Fields Order","Ordre des champs de date"
"Time Format","Format d'heure"
"Year Range","Période annuelle"
"Please use a four-digit year format.","Veuillez utiliser un format d'année à quatre chiffres."
"Product Image Watermarks","Filigranes d'images de produits"
"Watermark Default Size","Taille par défaut du filigrane"
"Watermark Opacity, Percent","Pourcentage d'opacité du filigrane"
Watermark,Filigrane
"Watermark Position","Positionnement du filigrane"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utiliser les URLs statiques pour le contenu média dans l'éditeur WYSIWYG pour le catalogue"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Cela ne concerne que les produits et les catégories catalogue. Le contenu des médias sera inséré dans l'éditeur comme une URL statique. Le contenu des médias ne sont pas mis à jour si la configuration du système de base URL change."
"Top Level Category","Catégorie de niveau supérieur"
"Product Flat Data","Données fixes de produit"
"Reorganize EAV product structure to flat structure","Réorganise la structure de produit EAV en une structure fixe"
"Category Flat Data","Données fixes de catégorie"
"Reorganize EAV category structure to flat structure","Réorganise la structure de catégorie EAV en une structure fixe"
"Indexed category/products association","Index des associations catégorie/produits"
"Product Categories","Catégories du produit"
"Indexed product/categories association","Indexation d'association produit/catégories "
"Product Price","Prix du produit"
"Index product prices","Index des prix de produit"
"Product EAV","EAV de produit"
"Index product EAV","Indexation Produit EAV"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"List of Products that are set as New","Liste des produits configurés comme ""Nouveaux"""
"Display Type","Type d'affichage"
"All products - recently added products, New products - products marked as new","Tous les produits - produits ajoutés récemment, Nouveaux produits - produits marqués comme nouveau"
"All products","Tous les produits"
"New products","Nouveaux produits"
"New Products Grid Template","Gabarit des nouveaux produits sous forme de grille"
"New Products List Template","Gabarit des nouveaux produits sous forme de liste"
"New Products Images and Names Template","Nouveaux produits images et Noms du gabarit"
"New Products Names Only Template","Nouveaux noms de produits avec Gabarit"
"New Products Images Only Template","Nouveaux produits images avec Gabarit"
"Catalog Product Link","Lien catalogue de produits"
